,id,amenity,est,nor,Ai,centers,label
443,4757046,park,526883.699,177054.313,37.15,False,149
446,4764027,park,520430.197,175873.629,23.37,False,88
447,4764498,parking,516857.861,172185.625,12.03,False,104
448,4764916,park,519775.086,175533.76,11.83,False,88
454,4770293,supermarket,518091.292,169873.732,14.83,False,143
463,4780410,garden,526220.634,181088.812,63.49,False,29
464,4781721,park,518506.605,169799.93,13.46,False,143
465,4781725,playground,518533.916,169847.641,12.44,False,143
473,4799189,park,534063.385,176331.678,36.92,False,3
475,4799491,park,518230.626,173973.642,11.83,False,74
476,4799493,park,518145.396,174156.45,20.53,False,74
481,4805934,university,518922.727,177267.174,12.79,False,118
483,4808830,parking,515277.463,185548.367,19.29,False,138
486,4808850,sports centre,514929.879,185323.592,11.8,False,138
488,4809118,school,515280.6,185525.664,19.83,False,138
489,4822314,hospital,526439.009,166158.979,17.82,False,39
504,4857806,golf course,515949.084,187818.328,13.94,False,97
505,4859425,parking,528352.469,164831.876,22.61,False,110
506,4859728,park,530258.936,186539.007,53.11,False,34
508,4862221,park,528159.746,166291.875,21.42,False,110
509,4865011,parking,534203.638,176182.649,38.52,False,3
510,4865563,community centre,533936.568,175903.217,29.97,False,5
511,4865768,park,534463.546,175630.125,20.71,False,5
519,4894273,park,528114.793,164701.319,26.24,False,110
522,4896040,school,528268.711,164443.03,18.94,False,102
529,4904172,playground,528070.415,164676.431,26.07,False,110
536,4907493,hospital,521210.804,175686.118,14.77,False,88
539,4926701,school,515453.718,184744.565,15.31,False,138
550,4941195,park,514814.786,183699.468,12.32,False,47
567,4949574,parking,554863.762,190650.166,11.66,False,1
576,4956613,park,534116.664,181464.014,134.77,False,52
578,4959880,cafe,526500.622,179138.525,40.85,False,93
579,4959893,garden,526912.263,179397.548,38.03,False,93
580,4960762,parking,534150.82,170819.665,15.59,False,21
581,4960905,museum,533834.896,170721.803,38.2,False,21
583,4961871,parking,515561.285,180151.669,25.15,False,142
589,4964138,garden,534753.427,173184.599,13.62,False,40
592,4969113,park,531663.72,183619.688,141.98,False,43
593,4969133,place of worship,531747.472,183874.526,141.24,False,43
594,4969151,park,531658.857,184700.296,81.78,False,56
595,4969160,park,531735.443,185143.347,37.27,False,56
596,4969746,garden,531279.118,180906.745,71.77,False,94
601,4976041,supermarket,530728.18,175104.895,47.63,False,50
602,4976046,parking,531113.33,174903.493,39.97,False,50
603,4976051,electronics,531159.625,174898.487,39.16,False,50
604,4976052,bicycle,531144.16,174944.556,44.19,False,50
605,4981842,park,524838.36,180604.845,62.95,False,54
606,4982146,florist,530012.978,177700.541,16.0,False,132
607,4982149,park,529901.176,176569.643,23.32,False,62
608,4982161,park,530490.371,177659.851,26.28,False,132
611,4985325,supermarket,532063.415,188198.974,27.59,False,37
612,4985326,parking,532080.394,188124.96,26.15,False,37
621,4993542,parking,533198.629,196518.256,25.55,False,96
622,4993543,supermarket,533150.061,196436.52,27.36,False,96
630,4996129,park,525162.434,178457.36,38.67,False,158
631,4996140,garden,525267.876,178549.561,48.48,False,158
632,4996178,supermarket,524926.084,178619.956,34.43,False,158
633,4996181,place of worship,525174.78,177334.51,86.29,False,161
636,4996714,supermarket,525737.932,174374.602,63.06,False,162
637,4996718,parking,525790.963,174406.265,57.19,False,162
638,4997029,supermarket,525119.916,171096.1,26.27,False,75
646,5012632,cafe,531716.198,173933.525,12.65,False,160
652,5015045,school,532941.479,174370.454,11.86,False,5
654,5019867,furniture,530673.081,166204.737,11.75,False,24
659,5022048,parking,532851.705,196356.63,43.9,False,96
662,5022226,school,526123.018,164401.13,39.46,False,130
663,5022227,parking,525993.224,164369.998,53.81,False,130
671,5038028,park,529021.349,164636.627,11.99,False,102
672,5038029,playground,528983.695,164632.173,13.17,False,102
674,5038724,park,527912.381,179552.55,96.5,False,144
675,5038725,garden,527751.441,179251.932,76.52,False,144
676,5043306,parking,527090.636,185944.823,19.21,False,25
694,5061857,park,517808.563,180959.433,74.77,False,141
695,5061858,park,517814.937,180990.468,67.87,False,141
703,5070293,park,533644.697,184025.521,27.33,False,150
704,5076630,parking,526585.955,196296.06,11.65,False,109
715,5082648,park,526630.559,181871.631,63.03,False,29
716,5082649,park,526781.144,181762.612,74.65,False,29
720,5095245,museum,534806.85,173248.484,12.68,False,40
735,5108124,park,515341.813,179898.583,18.91,False,142
737,5112993,garden,533954.164,176435.538,31.57,False,3
738,5112996,parking,534277.228,176633.626,62.91,False,3
739,5112997,supermarket,534246.637,176665.467,68.06,False,3
740,5122303,park,532731.519,183895.883,22.88,False,48
747,5131192,park,525447.015,176815.072,37.66,False,149
750,5179389,college,537933.117,189913.182,45.73,False,28
755,5197841,community centre,533357.592,175701.533,17.09,False,5
757,5198769,playground,533658.681,176245.428,15.57,False,3
758,5200419,parking,528079.247,164560.009,24.56,False,110
759,5200422,grave yard,527931.895,164391.645,18.18,False,110
775,5211981,school,515373.888,180368.357,14.39,False,142
802,5235501,school,527521.595,164994.221,22.3,False,110
803,5235508,park,527367.37,165108.647,20.87,False,110
804,5239874,parking,524212.939,163485.679,49.99,False,68
805,5240949,grave yard,524287.61,163943.592,26.22,False,130
806,5243865,park,523929.162,163738.99,17.57,False,68
810,5247415,park,524236.291,163842.203,38.08,False,130
811,5247896,parking,524297.347,163859.432,36.12,False,130
814,5260188,park,530009.387,187397.214,39.39,False,103
815,5261003,park,527660.314,165188.709,34.84,False,110
816,5261045,school,527592.093,164457.086,14.18,False,110
817,5261058,playground,527275.5,165086.865,15.92,False,110
819,5317762,grave yard,528093.727,178275.675,45.12,False,81
820,5317958,gallery,527926.304,178456.095,81.54,False,81
821,5318737,park,527865.068,178197.107,45.46,False,81
822,5319726,garden,527646.009,178075.939,41.21,False,81
829,5454217,parking,534715.76,175099.318,19.52,False,5
830,5454218,playground,534642.126,175081.724,21.3,False,5
831,5458326,parking,524979.339,170413.78,74.52,False,75
832,5458380,parking,525211.293,170427.212,58.56,False,75
835,5464883,garden,534617.982,175011.816,21.88,False,5
836,5464884,garden,534758.355,174962.63,19.12,False,5
837,5464885,garden,534851.341,174904.469,14.61,False,5
838,5464886,garden,534902.872,174921.169,12.92,False,5
839,5465511,supermarket,534291.874,175430.256,24.36,False,5
840,5490982,park,526100.898,164192.712,49.36,False,130
841,5548352,supermarket,534050.695,176594.434,46.57,False,3
842,5548353,supermarket,534093.237,176565.289,49.2,False,3
843,5548355,parking,534084.547,176617.66,51.65,False,3
844,5548356,school,533990.715,176544.205,38.02,False,3
845,5551993,park,533284.16,176589.86,15.87,False,4
846,5552546,college,533032.687,176636.0,23.54,False,4
847,5552548,grave yard,532981.767,176567.225,24.78,False,4
848,5596994,parking,535069.532,181743.335,47.75,False,22
849,5596998,parking,535132.703,181732.073,43.86,False,22
850,5597005,parking,535129.765,181678.903,43.68,False,22
851,5598932,parking,534853.118,181982.31,56.47,False,52
852,5602136,park,534921.852,181530.824,57.78,False,22
856,5787359,parking,553916.385,187318.652,13.37,False,83
858,5790588,restaurant,534143.348,196418.082,13.27,False,85
859,5791074,craft,534399.982,196365.744,11.8,False,124
861,5831176,park,533202.206,182722.16,132.08,False,52
862,5831178,garden,533014.976,183011.579,67.21,False,43
863,5831179,school,532995.142,183057.295,60.31,False,43
864,5884904,park,533504.932,183183.18,51.42,False,150
865,5923323,park,534089.683,182903.729,37.31,False,150
866,5926169,park,534216.663,183057.409,29.76,False,150
867,5926843,park,534368.94,182720.232,41.28,False,150
868,5929592,school,534524.002,182911.26,36.32,False,150
869,5930237,park,534964.708,182794.297,49.93,False,150
870,5942883,park,535026.784,185360.057,38.06,False,60
871,5949366,park,536141.62,181231.731,35.08,False,22
872,5949374,park,535942.926,181508.832,25.98,False,22
873,5950004,park,535118.528,181414.224,45.4,False,22
874,5983916,place of worship,527380.414,182713.873,15.76,False,133
875,5984714,parking,528472.204,184147.208,93.17,False,98
877,5985469,parking,525859.371,175674.9,30.8,False,149
878,5987419,theatre,530795.97,180218.876,72.49,False,72
880,5993319,park,534433.52,185654.765,12.98,False,60
881,6008166,school,532481.216,183970.851,33.02,False,43
882,6008841,park,533008.639,182780.834,102.96,False,52
885,6063073,supermarket,534465.895,196582.75,12.92,False,124
886,6063082,fuel,534452.353,196714.738,13.77,False,124
889,6083578,school,534450.984,185100.765,17.48,False,60
894,6147620,park,535859.168,184288.996,12.91,False,60
895,6148065,park,533928.355,185572.412,23.58,False,48
901,6230642,garden,533643.079,182547.906,110.84,False,52
902,6231080,park,531854.253,190187.321,11.47,False,117
903,6231349,school,531457.478,190203.73,23.77,False,117
906,6250433,parking,533818.587,184933.674,45.21,False,48
907,6274696,park,555783.499,186390.683,36.6,False,46
908,6277964,park,533611.118,184090.179,29.44,False,48
909,6277982,park,533725.079,184293.681,29.13,False,48
910,6281556,parking,512585.897,191163.832,30.78,False,66
912,6534148,hotel,524363.244,175854.969,30.32,False,154
913,6578341,park,529632.416,184527.249,24.89,False,98
914,6637460,sports centre,534527.165,184422.588,19.27,False,150
915,6637482,playground,534745.616,184431.659,25.58,False,150
935,7944907,garden,525686.316,178555.589,63.08,False,158
936,7944966,garden,525818.303,178666.494,50.83,False,158
937,7945054,garden,525808.711,178453.219,51.04,False,158
938,7945412,garden,525919.616,178511.409,45.77,False,158
939,7945971,park,515367.483,173520.657,11.67,False,104
941,7945974,park,515515.625,173596.56,11.97,False,104
950,7998481,park,534954.835,179675.149,21.66,False,0
951,8010152,school,524962.624,190462.121,16.99,False,135
960,8043665,parking,529306.313,195963.123,15.73,False,51
961,8043684,parking,529405.108,195985.513,17.8,False,51
962,8043712,parking,532606.803,196502.281,45.94,False,96
971,8074910,parking,532667.908,176600.481,47.38,False,4
972,8076186,university,527703.152,182415.51,29.54,False,133
973,8076194,college,527592.81,182479.89,24.47,False,133
974,8076214,park,527487.939,182504.286,22.6,False,133
975,8081646,library,534836.039,181897.906,66.64,False,22
976,8081655,parking,535381.061,182099.725,32.14,False,22
977,8081876,parking,534981.755,181774.24,54.14,False,22
978,8083129,school,532875.722,176300.286,20.34,False,4
979,8083210,parking,532724.879,176081.844,17.88,False,4
986,8099271,park,535876.093,176284.603,13.19,False,30
989,8110221,parking,515342.103,189580.369,39.12,False,35
990,8110226,parking,515515.613,189690.021,43.82,False,35
991,8110227,parking,515481.745,189640.827,47.22,False,35
992,8114684,parking,535333.37,170748.521,15.28,False,155
993,8114721,park,535211.227,170272.13,34.75,False,155
1002,8137262,park,524812.328,179742.238,24.77,False,54
1005,8141222,parking,528650.445,191893.694,12.75,False,20
1007,8145621,park,527166.368,178086.058,49.24,False,93
1008,8147095,parking,524695.332,196302.615,27.22,False,109
1011,8364034,park,529140.437,183824.919,105.8,False,98
1014,8396535,school,524382.242,185591.989,19.66,False,65
1016,8501796,park,534118.472,183341.622,23.53,False,150
1019,8614496,museum,531393.007,179122.291,46.2,False,72
1020,8614502,park,531395.93,179135.787,46.68,False,72
1027,8877349,townhall,533445.327,180180.089,62.85,False,52
1042,9184699,park,521040.995,178850.457,40.22,False,91
1043,9184779,park,521044.249,178683.413,59.22,False,91
1044,9238547,park,526661.034,164733.151,13.46,False,130
1046,9349182,playground,533099.5,175594.295,14.25,False,5
1047,9349605,playground,533230.854,175569.724,19.76,False,5
1048,9384065,park,532564.696,176827.473,47.19,False,4
1058,9403153,school,529642.571,194476.11,16.66,False,12
1060,9404298,supermarket,529431.898,194486.728,16.26,False,12
1067,9542750,school,528762.34,195545.017,25.24,False,51
1070,9543625,school,533962.319,192024.026,16.92,False,127
1077,9558987,garden,530722.115,179595.632,54.11,False,72
1078,9629736,fuel,528077.199,196445.423,18.85,False,51
1079,9638948,parking,534965.033,196129.478,17.24,False,124
1085,9705557,park,518397.121,169207.617,29.15,False,143
1088,9796993,parking,528017.37,193323.49,19.59,False,12
1089,9799522,university,527646.72,182379.676,32.87,False,133
1090,9799621,park,527707.813,182419.489,29.13,False,133
1091,9820623,school,517958.52,187216.298,18.2,False,126
1106,10044857,school,534667.304,194088.287,15.28,False,125
1110,10045363,school,534675.524,194615.049,19.87,False,125
1113,10045810,school,532250.458,197273.749,15.15,False,96
1116,10046131,school,532762.4,197371.506,13.34,False,96
1119,10047837,school,535470.0,195648.576,23.98,False,124
1120,10048308,school,535126.366,196343.011,15.89,False,124
1121,10049505,park,526627.177,165938.34,11.68,False,39
1130,10051790,school,535658.19,198138.539,19.07,False,122
1134,10052419,school,535648.177,199054.061,13.24,False,122
1139,10148943,park,532966.891,165089.998,18.24,False,24
1140,10213435,park,535817.343,176053.88,13.11,False,30
1141,10270680,college,536423.763,176668.607,42.95,False,30
1146,10278829,park,525949.805,165696.832,14.91,False,110
1147,10278833,park,526032.988,165742.679,13.24,False,39
1149,10278841,school,525958.207,165261.954,16.7,False,130
1152,10364277,parking,515482.214,189378.886,28.34,False,35
1156,10378225,park,529294.405,196076.477,15.04,False,51
1157,10403540,parking,538104.298,175987.167,13.59,False,16
1161,10440056,school,518678.904,185126.652,44.81,False,36
1187,10604113,stadium,537856.538,186450.831,11.88,False,84
1188,10627679,garden,535052.958,181989.036,47.56,False,22
1189,10662957,parking,535189.493,181860.677,42.46,False,22
1190,10664769,park,535109.414,182577.666,41.07,False,153
1191,10668751,park,517662.695,180362.577,53.47,False,141
1199,10782218,garden,526551.001,178219.749,44.3,False,93
1200,10782605,garden,526496.924,178441.936,49.49,False,93
1201,10782657,garden,526571.614,178504.035,54.39,False,93
1202,10782688,garden,526624.31,178418.578,51.44,False,93
1203,10782741,garden,526687.463,178464.67,54.61,False,93
1204,10790633,museum,535026.379,182919.541,47.34,False,150
1206,10807015,museum,527833.445,177965.535,26.38,False,81
1207,10807120,park,528215.424,178030.783,19.99,False,81
1208,10810446,place of worship,529245.985,179071.335,111.69,False,82
1209,10811445,park,535718.3,182365.45,28.48,False,153
1210,10811927,park,535787.898,182832.238,32.62,False,153
1211,10812573,park,536603.205,182743.928,34.09,False,153
1217,10955552,parking,534476.913,176050.08,29.31,False,3
1219,11019215,park,528670.133,187146.93,23.77,False,103
1220,11032324,park,538236.031,187690.265,13.45,False,84
1241,11844138,playground,539808.527,169277.532,23.81,False,67
1243,11845122,park,539778.499,169224.063,20.42,False,67
1249,11845613,playground,540040.898,168992.486,38.71,False,67
1250,11846131,supermarket,540569.039,168596.653,21.64,False,67
1263,12116455,school,524866.345,196320.422,19.72,False,109
1264,12164834,townhall,537703.888,189907.279,58.36,False,28
1266,12242503,pub,540575.078,190077.359,67.5,False,116
1267,12243302,pub,540642.262,188295.41,15.69,False,120
1269,12535826,playground,530377.853,187261.739,40.58,False,37
1270,12542822,parking,535096.351,196166.984,22.09,False,124
1271,12542850,parking,535150.209,196047.209,30.79,False,124
1273,12874003,park,536097.28,189226.103,27.95,False,17
1277,13712151,stadium,541547.093,183408.318,19.82,False,159
1280,13790629,playground,528935.214,178066.287,27.46,False,82
1281,13791362,park,529542.679,178311.11,64.24,False,82
1282,13799212,library,530832.236,181922.664,112.13,False,94
1285,13857391,parking,539982.667,169391.775,48.07,False,67
1295,13869343,parking,526872.377,169920.21,13.68,False,9
1296,13869347,parking,526789.779,169902.613,15.24,False,9
1298,13869756,playground,526687.686,170550.505,14.93,False,9
1299,13869841,park,526672.024,170417.25,18.28,False,9
1301,13873566,park,532315.237,167045.023,18.18,False,24
1302,13878265,library,537648.017,173595.095,14.99,False,76
1309,14014520,sports centre,530830.436,175488.979,77.72,False,50
1310,14014801,sports centre,530886.21,175500.84,91.7,False,50
1311,14016335,garden,530685.515,175382.996,53.61,False,50
1312,14039211,park,535035.318,182834.525,49.0,False,150
1313,14117991,grave yard,542614.691,174546.503,50.05,False,128
1314,14164486,park,530780.999,182409.917,77.51,False,121
1316,14325882,park,535691.311,181959.682,28.3,False,22
1317,14351765,park,531027.574,183716.792,63.17,False,43
1318,14388992,garden,523098.236,180559.513,17.9,False,151
1319,14397528,hotel,523312.458,179836.926,79.32,False,151
1322,14488303,sports centre,534596.317,181898.355,80.99,False,52
1323,14492080,supermarket,534795.743,182029.528,53.89,False,52
1324,14495071,cinema,535298.314,182068.599,35.37,False,22
1331,14838860,park,535273.579,182424.234,33.03,False,153
1345,15137156,supermarket,540251.9,190451.424,56.97,False,116
1346,15219325,park,532481.912,196536.599,34.28,False,96
1347,15219624,park,532388.982,196710.247,23.28,False,96
1355,15262028,pub,527090.013,181306.459,132.28,False,133
1356,15694166,hotel,530120.606,182880.497,128.44,False,121
1358,16277711,parking,517973.993,167503.706,40.21,False,80
1362,16298997,parking,517465.278,177307.133,17.29,False,53
1363,16299011,courthouse,517511.03,177403.449,19.93,False,53
1364,16299012,parking,517526.559,177378.364,20.16,False,53
1365,16320738,park,530803.947,184043.195,67.05,False,43
1366,16409717,townhall,529393.441,179271.904,106.59,False,82
1370,16648893,park,530993.279,184965.866,53.34,False,56
1375,16945455,parking,531751.28,184675.211,75.94,False,56
1377,17096815,courthouse,537615.76,189845.645,64.65,False,28
1378,17111066,parking,542604.626,173974.219,14.13,False,128
1382,17368819,grave yard,535990.008,181552.578,25.3,False,22
1383,17368967,place of worship,535976.564,181587.984,24.84,False,22
1384,17442711,school,548784.652,184892.649,12.01,False,8
1390,17506890,swimming pool,530686.316,183839.482,70.77,False,121
1403,17709642,parking,524371.246,163307.03,27.62,False,130
1409,17713529,school,524079.052,163439.621,29.6,False,68
1411,17715963,park,524604.346,163758.635,19.99,False,130
1412,17720986,school,525591.986,163898.063,24.91,False,130
1415,17743541,parking,523958.074,163956.653,13.22,False,130
